id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,
Argentina,4.75,3.06,1.55,1.51,-50.78,
Australia,3.25,1.33,2.44,1.03,-22.47,
Brazil,6.20,2.26,2.74,1.97,-12.97,
Britain,1.88,0.57,3.32,0.60,-5.01,
Canada,3.52,1.17,3.01,1.12,-4.52,
Chile,1560.00,522.75,2.98,495.24,-5.26,
China,10.50,8.06,1.30,3.33,-58.66,
Colombia,,,,,,
Costa Rica,,,,,,
Czech Republic,62.00,23.84,2.60,19.68,-17.43,
Denmark,27.75,6.18,4.49,8.81,42.62,
Egypt,9.25,5.74,1.61,2.94,-48.84,
Euro area,2.91,0.83,3.51,0.92,11.55,
Hong Kong,12.00,7.75,1.55,3.81,-50.85,
Hungary,560.00,206.96,2.71,177.78,-14.10,
India,,,,,,
Indonesia,14600.00,9460.00,1.54,4634.92,-51.01,
Israel,,,,,,
Japan,250.00,114.31,2.19,79.37,-30.57,
Latvia,,,,,,
Lithuania,,,,,,
Malaysia,5.50,3.75,1.47,1.75,-53.42,
Mexico,28.00,10.54,2.66,8.89,-15.69,
New Zealand,4.45,1.45,3.08,1.41,-2.35,
Norway,,,,,,
Pakistan,,,,,,
Peru,9.50,3.45,2.76,3.02,-12.48,
Philippines,82.00,52.58,1.56,26.03,-50.49,
Poland,6.50,3.12,2.09,2.06,-33.76,
Russia,46.00,28.67,1.60,14.60,-49.06,
Saudi Arabia,,,,,,
Singapore,3.60,1.64,2.20,1.14,-30.11,
South Africa,13.95,6.08,2.29,4.43,-27.17,
South Korea,2500.00,977.45,2.56,793.65,-18.80,
Sri Lanka,,,,,,
Sweden,33.00,7.71,4.28,10.48,35.84,
Switzerland,6.30,1.28,4.93,2.00,56.54,
Taiwan,75.00,31.95,2.35,23.81,-25.48,
Thailand,60.00,39.76,1.51,19.05,-52.09,
Turkey,4.10,1.34,3.07,1.30,-2.61,
UAE,,,,,,
Ukraine,,,,,,
United States,3.15,1.00,3.15,1.00,0.00,
Uruguay,,,,,,
Venezuela,5900.00,2615.92,2.26,1873.02,-28.40,
